2023-01-25 13:44:36 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:44:40 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:45:11 INFO  Servlet:42 - Servlet.doGet; commandName ==> registration
2023-01-25 13:45:21 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 13:45:33 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 13:48:26 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 13:48:32 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 13:48:32 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-25 13:48:34 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 13:48:38 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 13:50:58 INFO  Servlet:60 - Servlet.destroy
2023-01-25 13:51:09 INFO  Servlet:22 - Servlet.init
2023-01-25 13:51:09 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 13:51:18 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 13:51:21 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 13:51:30 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 13:57:47 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:15:33 INFO  Servlet:60 - Servlet.destroy
2023-01-25 14:16:41 INFO  Servlet:22 - Servlet.init
2023-01-25 14:16:41 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-25 14:16:48 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 14:16:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:16:57 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:16:58 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:17:18 INFO  Servlet:42 - Servlet.doGet; commandName ==> getFaculties
2023-01-25 14:17:18 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:17:21 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:17:23 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:22:29 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:35:56 INFO  Servlet:60 - Servlet.destroy
2023-01-25 14:36:37 INFO  Servlet:22 - Servlet.init
2023-01-25 14:36:37 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:36:42 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 14:36:43 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:36:45 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:36:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:36:51 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:36:54 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:36:58 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:37:37 INFO  Servlet:60 - Servlet.destroy
2023-01-25 14:37:41 INFO  Servlet:22 - Servlet.init
2023-01-25 14:37:41 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:37:46 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 14:37:48 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:37:52 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:42:06 INFO  Servlet:60 - Servlet.destroy
2023-01-25 14:42:46 INFO  Servlet:22 - Servlet.init
2023-01-25 14:42:46 INFO  Servlet:42 - Servlet.doGet; commandName ==> logOut
2023-01-25 14:42:50 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
2023-01-25 14:42:52 INFO  Servlet:42 - Servlet.doGet; commandName ==> setFacultiesForRegistration
2023-01-25 14:42:54 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:44:25 INFO  Servlet:60 - Servlet.destroy
2023-01-25 14:44:30 INFO  Servlet:22 - Servlet.init
2023-01-25 14:44:30 INFO  Servlet:42 - Servlet.doGet; commandName ==> registerForFaculties
2023-01-25 14:44:33 INFO  Servlet:42 - Servlet.doGet; commandName ==> logOut
2023-01-25 14:44:38 INFO  Servlet:42 - Servlet.doGet; commandName ==> logIn
